,code,seed,model_name,test/ece,test/accuracy,test/negative_log_likelihood
0,1,0,Stoc Input,2.7761105448007584,95.75320482254028,0.18485349416732788
1,0,0,Deterministic,2.753446064889431,95.6129789352417,0.1857617050409317
2,8192,0,Stoc Output,2.847924083471298,95.52283883094788,0.19129110872745514
3,16383,0,All Stoc,3.139394149184227,94.57131624221802,0.2156461626291275
4,8192,1,Stoc Output,2.7159899473190308,95.703125,0.19117625057697296
5,8192,2,Stoc Output,2.856791578233242,95.56289911270142,0.18706834316253662
6,0,1,Deterministic,2.7580086141824722,95.58293223381042,0.18992292881011963
7,12288,0,Last 2 Stoc,2.4163559079170227,95.52283883094788,0.16905651986598969
8,12288,1,Last 2 Stoc,2.285414934158325,95.74319124221802,0.16730505228042603
9,8193,2,,2.793494053184986,95.7932710647583,0.1883985996246338
10,12288,2,Last 2 Stoc,2.3554727435112,95.49278616905212,0.16809698939323425
11,8193,0,,2.8039973229169846,95.76321840286255,0.19305840134620667
12,16383,1,All Stoc,2.9757406562566757,94.67147588729858,0.20998038351535797
13,1,1,Stoc Input,2.8398847207427025,95.54286599159241,0.19157494604587555
14,1,2,Stoc Input,2.781757339835167,95.81330418586731,0.1843312829732895
15,0,2,Deterministic,2.797847241163254,95.62299847602844,0.1861051470041275
16,16383,2,All Stoc,2.9008518904447556,94.82171535491943,0.215932235121727
17,8193,1,,2.6873985305428505,95.75320482254028,0.18654169142246246
